,No.,Radical,Pinyin,Meaning,
,167,金,jīn,Metal/gold,
,168,"長 (镸, 长)",cháng,Long/lasting,
,169,門 (门),mén,Door/gate,
,170,阜 (阝),fù,Hill/mound,
,171,隶,dài,To catch up/to follow,
,172,隹,zhuī,A short-tailed bird,
,173,雨,yǔ,Rain,
,174,青 (靑),qīng,Green/blue,
,175,非,fēi,Wrong/incorrect,
,176,面 (靣),miàn,Face,
,177,革,gé,To change/to replace,
,178,韋 (韦),wéi,Leather,
,179,韭,jiǔ,Leek (a type of vegetable),
,180,音,yīn,Sound,
,181,頁 (页),yè,Page/sheet,
,182,"風 (凬, 风)",fēng,Wind,
,183,飛 (飞),fēi,To fly,
,184,"食 (飠, 饣)",shí,Food,
,185,首,shǒu,Head,
,186,香,xiāng,Fragrance,
,187,馬 (马),mǎ,Horse,
,188,骨,gǔ,Bone,
,189,高,gāo,Tall/high,
,190,髟,biāo,Long hair,
,191,鬥 (斗),dòu,To fight,
,192,鬯,chàng,A type of fragrant rice wine,
,193,鬲,gé,An ancient state,
,194,鬼,guǐ,Ghost,
,195,魚 (鱼),yú,Fish,
,196,鳥 (鸟),niǎo,Bird,
,197,鹵,lǔ,Salt/brine/mineral salt,
,198,鹿,lù,Deer,
,199,麥 (麦),mò,Wheat/barley,
,200,麻,má,Hemp/mourning clothes,
,201,黃,huáng,Yellow,
,202,黍,shǔ,Millet/small sharp leaves,
,203,黑,hēi,Black,
,204,黹,zhǐ,Sewing/embroidery,
,205,黽,méng,Mudfish/frog,
,206,鼎,dǐng,Cauldron/tripod vessel,
,207,鼓,gǔ,Drum,
,208,鼠,shǔ,Rat,
,209,鼻,bí,Nose,
,210,"齊 (斉, 齐)",qí,Equal/uniform/the state of Qi,
,211,"齒 (齿, 歯)",chǐ,Tooth,
,212,龍 (龙),lóng,Dragon/symbolizing the emperor,
,213,"龜 (亀, 龟)",guī,Turtle,
,214,龠,yuè,A type of ancient musical instrument,
,215,的,de,Of,
,216,不,bù,Not,
,217,是,shì,Is,
,218,了,le,To know,
,219,在,zài,At,
,220,有,yǒu,To have,
,221,我,wǒ,I,
,222,他,tā,He,
,223,这,zhè,This,
,224,为,wèi,Act as,
,225,之,zhī,Him,
,226,来,lái,To come,
,227,以,yǐ,To use,
,228,个,gè,Individual,
,229,中,zhōng,Within,
,230,上,shàng,On,
,231,们,men,Plural marker for pronouns and a few animate nouns,
,232,到,dào,To (a place),
,233,说,shuō,Persuade (politically),
,234,国,guó,Country,
,235,和,hé,And,
,236,地,dì,-ly,
,237,也,yě,Also,
,238,时,shí,O'clock,
,239,道,dào,Direction,
,240,出,chū,To go out,
,241,要,yào,Demand,
,242,于,yú,In,
,243,就,jiù,At once,
,244,下,xià,Under,
,245,得,dé,Obtain,
,246,可,kě,Can,
,247,你,nǐ,You,
,248,年,nián,Year,
,249,会,huì,Can,
,250,那,nǎ,How,
,251,后,hòu,Empress,
,252,能,néng,Can,
,253,对,duì,Couple,
,254,着,zhe,Catch,
,255,事,shì,Matter,
,256,其,qí,His,
,257,所,suǒ,Actually,
,258,去,qù,To go,
,259,过,guò,To cross,
,260,家,jiā,Furniture,
,261,发,fā,To send out,
,262,天,tiān,Day,
,263,如,rú,As (if),
,264,然,rán,Correct,
,265,作,zuò,To regard as,
,266,成,chéng,Finish,
,267,者,zhě,-ist,
,268,多,duō,Many,
,269,都,dōu,All,
,270,三,sān,Three,
,271,军,1-Jun,Army,
,272,同,tóng,Like,
,273,么,ma,(interrog. suff.),
,274,经,jīng,Classics,
,275,法,fǎ,Law,
,276,当,dāng,To be,
,277,起,qǐ,To rise,
,278,与,yú,And,
,279,好,hǎo,Good,
,280,看,kàn,To look after,
,281,学,xué,Learn,
,282,进,jìn,Advance,
,283,种,zhǒng,Kind,
,284,将,jiāng,Ready,
,285,还,hái,Also,
,286,分,fēn,To divide,
,287,此,cǐ,This,
,288,前,qián,Before,
,289,定,dìng,To set,
,290,只,zhǐ,Earth-spirit,
,291,主,zhǔ,To own,
,292,没,méi,Have not,
,293,公,gōng,Just,
,294,从,cōng,Lax,
,295,知,zhī,To know,
,296,使,shǐ,To make,
,297,部,bù,Ministry,
,298,本,běn,Roots or stems of plants,
,299,动,dòng,To use,
,300,现,xiàn,Appear,
,301,因,yīn,Cause,
,302,开,kāi,Open,
,303,些,xiē,Some,
,304,理,lǐ,Reason,
,305,长,cháng,Length,
,306,明,míng,Clear,
,307,样,yàng,Manner,
,308,意,yì,Idea,
,309,已,yǐ,Already,
,310,正,zhēng,Chinese 1st month of year,
,311,想,xiǎng,To think,
,312,实,shí,Real,
,313,把,bǎ,To hold,
,314,但,dàn,But,
,315,相,xiāng,Each other,
,316,两,liǎng,Both,
,317,民,mín,The people,
,318,她,tā,She,
,319,等,děng,Class,
,320,外,wài,Outside,
,321,第,dì,Prefix before a number (ordinal marker),
,322,问,wèn,To ask,
,323,太,tài,Highest,
,324,头,tóu,Head,
,325,情,qíng,Feeling,
,326,西,xī,West,
,327,机,jī,Machine,
,328,它,tā,It,
,329,回,huí,A time,
,330,并,bìng,And,
,331,间,jiān,Between,
,332,四,sì,Four,
,333,关,guān,Mountain pass,
,334,重,zhòng,To double,
,335,应,yīng,Ought,
,336,性,xìng,Sex,
,337,全,quán,All,
,338,点,diǎn,O'clock,
,339,东,dōng,East,
,340,由,yóu,Follow,
,341,何,hé,Carry,
,342,向,xiàng,Direction,
,343,物,wù,Thing,
,344,战,zhàn,To fight,
,345,业,yè,Business,
,346,被,bèi,By (marker for passive-voice sentences or clauses),
,347,政,zhèng,Political,
,348,内,nèi,Inside,
,349,五,wǔ,Five,
,350,及,jí,To reach,
,351,先,xiān,Early,
,352,安,ān,Content,
,353,或,huò,Maybe,
,354,利,lì,Advantage,
,355,很,hěn,Very,
,356,最,zuì,Most,
,357,书,shū,Book,
,358,制,zhì,System,
,359,美,měi,America,
,360,体,tǐ,Body,
,361,什,shén,What,
,362,新,xīn,Meso- (chem.),
,363,话,huà,Dialect,
,364,名,míng,Name,
,365,合,gě,One-tenth of a peck,
,366,加,jiā,To add,
,367,世,shì,Life,
,368,平,píng,Flat,
,369,常,cháng,Always,
,370,果,guǒ,Fruit,
,371,位,wèi,Position,
,372,信,xìn,Letter,
,373,度,dù,Capacity,
,374,产,chǎn,To reproduce,
,375,声,shēng,Sound,
,376,南,nán,South,
,377,代,dài,Substitute,
,378,处,chù,To reside,
,379,便,biàn,Ordinary,
,380,通,tōng,Go through,
,381,命,mìng,Life,
,382,特,té,Special,
,383,给,gěi,To,
,384,数,shù,To count,
,385,次,cì,Nth,
,386,海,hǎi,Ocean,
,387,今,jīn,Today,
,388,表,biǎo,Surface,
,389,原,yuán,Former,
,390,斯,sī,This,
,391,义,yì,Justice,
,392,各,gè,Each,
,393,州,zhōu,State,
,394,化,huà,To make into,
,395,任,rèn,To assign,
,396,真,zhēn,Real,
,397,才,cái,Ability,
,398,教,jiào,Teach,
,399,官,guān,Official,
,400,少,shǎo,Few,
,401,司,sī,Company,
,402,德,dé,Germany,
,403,解,jiě,To separate,
,404,神,shén,God,
,405,则,zé,Standard,
,406,必,bì,Certainly,
,407,兵,bīng,Soldiers,
,408,打,dá,Dozen,
,409,员,yuán,Person,
,410,再,zài,Again,
,411,论,lún,The Analects (of Confucius),
,412,别,bié,Leave,
,413,听,tīng,Listen,
,414,提,dī,Carry (suspended),
,415,万,wàn,Wan (surname),
,416,死,sǐ,To die,
,417,更,gèng,To change,
,418,受,shòu,To bear,
,419,百,bǎi,Hundred,
,420,做,zuò,To do,
,421,尔,ěr,Thus,
,422,即,jí,Namely,
,423,元,yuán,Dollar,
,424,报,bào,To announce,
,425,直,zhí,Straight,
,426,总,zǒng,Always,
,427,建,jiàn,To establish,
,428,夫,fū,Porter,
,429,北,běi,North,
,430,未,wèi,1-3 p.m.,
,431,张,zhāng,Open up,
,432,令,lìng,Make or cause to be,
,433,反,fǎn,Wrong side out or up,
,434,师,shī,A division (milit.),
,435,许,xǔ,To allow,
,436,条,tiáo,Measure word for long,
,437,变,biàn,To change,
,438,系,xì,Be,
,439,计,jì,To calculate,
,440,且,qiě,Further,
,441,认,rèn,To recognize,
,442,光,guāng,Light,
,443,管,guǎn,To take care (of),
,444,路,lù,Road,
,445,接,jiē,To extend,
,446,城,chéng,City walls,
,447,活,huó,To live,
,448,保,bǎo,To defend,
,449,结,jiē,Knot,
,450,题,tí,Topic,
,451,却,què,But,
,452,指,zhǐ,Finger,
,453,感,gǎn,To feel,
,454,难,nán,Difficult (to...),
,455,量,liáng,To measure,
,456,务,wù,Affair,
,457,治,zhì,To rule,
,458,取,qǔ,To take,
,459,场,chǎng,A courtyard,
,460,思,sī,To think,
,461,电,diàn,Electric,
,462,空,kōng,Air,
,463,边,biān,Side,
,464,统,tǒng,To gather,
,465,件,jiàn,A measure word for thing,
,466,期,qī,A period of time,
,467,克,kè,Gram,
,468,帝,dì,Emperor,
,469,亲,qīn,Dear,
,470,复,fù,Again,
,471,住,zhù,To live,
,472,请,qǐng,To ask,
,473,市,shì,Market,
,474,六,liù,Six,
,475,放,fàng,To release,
,476,风,fēng,Wind,
,477,资,zī,Resources,
,478,求,qiú,To seek,
,479,史,shǐ,History,
,480,形,xíng,To appear,
,481,望,wàng,Hope,
,482,传,chuán,To pass on,
,483,府,fǔ,Prefecture,
,484,眼,yǎn,Eye,
,485,领,lǐng,Neck,
,486,清,qīng,Clear,
,487,决,jué,Breach (a dyke),
,488,笑,xiào,Laugh,
,489,告,gào,To tell,
,490,叫,jiào,To (be) call(ed),
,491,队,duì,Squadron,
,492,强,qiáng,Strength,
,493,往,wǎng,To go (in a direction),
,494,区,ōu,Ou (surname),
,495,交,jiāo,To deliver,
,496,武,wǔ,Martial,
,497,达,dá,Attain,
,498,社,shè,Society,
,499,权,quán,Authority,
,500,科,kē,Branch of study,
,501,九,jiǔ,Nine,
,502,设,shè,To set up,
,503,李,lǐ,Plum,
,504,观,guān,To look at,
,505,记,jì,To remember,
,506,改,gǎi,To change,
,507,展,zhǎn,To use,
,508,字,zì,Letter,
,509,故,gù,Happening,
,510,品,pǐn,Conduct,
,511,议,yì,Criticize,
,512,象,xiàng,Shape,
,513,花,huā,Flower,
,514,七,qī,Seven,
,515,完,wán,To finish,
,516,林,lín,Woods,
,517,基,jī,Base,
,518,服,fú,Clothes,
,519,带,dài,Band,
,520,据,jū,Sickness of hand,
,521,界,jiè,Boundary,
,522,云,yún,To say,
,523,觉,jué,A nap,
,524,像,xiàng,Like,
,525,院,yuàn,Courtyard,
,526,远,yuǎn,Far,
,527,收,shōu,To receive,
,528,众,zhòng,Multitude,
,529,候,hòu,Wait,
,530,类,lèi,Kind,
,531,程,chéng,Rule,
,532,转,zhuǎn,To convey,
,533,共,gòng,All together,
,534,千,qiān,Thousand,
,535,式,shì,Type,
,536,失,shī,To lose,
,537,流,liú,To flow,
,538,每,měi,Each,
,539,该,gāi,That,
,540,朝,cháo,To face,
,541,始,shǐ,Begin,
,542,连,lián,Even,
,543,术,shù,Method,
,544,近,jìn,Near,
,545,格,gé,Frame,
,546,济,jì,Aid,
,547,运,yùn,To move,
,548,怎,zěn,How,
,549,步,bù,A step,
,550,台,tái,Surname,
,551,让,ràng,To ask,
,552,江,jiāng,River,
,553,河,hé,River,
,554,识,shí,To know,
,555,规,guī,Compass,
,556,拉,lā,To pull,
,557,切,qiē,To cut,
,558,极,jí,Extremely,
,559,持,chí,To grasp,
,560,若,ruò,To seem,
,561,英,yīng,English,
,562,争,zhēng,Struggle,
,563,功,gōng,Merit,
,564,深,shēn,Deep,
,565,备,bèi,To prepare,
,566,造,zào,To make,
,567,阳,yáng,Positive (electric.),
,568,快,kuài,Fast,
,569,集,jí,To gather,
,570,布,bù,Diffuse,
,571,尽,jǐn,To the utmost,
,572,周,zhōu,Complete,
,573,宗,zōng,School,
,574,病,bìng,Ailment,
,575,华,huá,China,
,576,称,chèn,Balanced,
,577,罗,luō,Fussy,
,578,爱,ài,To love,
,579,导,dǎo,To transmit,
,580,确,què,Authenticated,
,581,呢,ne,Woolen material,
,582,办,bàn,To do,
,583,节,jié,Festival,
,584,根,gēn,Radical (chem.),
,585,击,jī,To hit,
,586,商,shāng,Commerce,
,587,陈,chén,Arrange,
,588,兴,xīng,Flourish,
,589,京,jīng,Capital,
,590,注,zhù,To inject,
,591,虽,suī,Although,
,592,杀,shā,To kill,
,593,存,cún,Exist,
,594,准,zhǔn,To allow,
,595,乎,hū,Interrog. part.,
,596,具,jù,Tool,
,597,甚,shèn,Very,
,598,黄,huáng,Sulfur,
,599,满,mǎn,Manchurian,
,600,容,róng,To hold,
,601,单,chán,Chieftain,
,602,联,lián,To ally,
,603,调,diào,Mode (music),
,604,吃,chī,Eat,
,605,古,gǔ,Ancient,
,606,算,suàn,Regard as,
,607,坐,zuò,To sit,
,608,早,zǎo,Early,
,609,引,yǐn,To lead,
,610,须,xū,Beard,
,611,离,lí,To leave,
,612,证,zhèng,Prove,
,613,约,yāo,Weigh,
,614,组,zǔ,To form,
,615,房,fáng,House,
,616,曾,céng,Already,
,617,似,sì,To seem,
,618,易,yì,Change,
,619,随,suí,To follow,
,620,精,jīng,Energy,
,621,视,shì,To look at,
,622,尚,shàng,Still,
,623,断,duàn,Absolutely,
,624,乃,nǎi,To be,
,625,影,yǐng,Picture,
,626,除,chú,Remove,
,627,初,chū,At first,
,628,息,xī,News,
,629,守,shǒu,To guard,
,630,党,dǎng,Party,
,631,半,bàn,Half,
,632,县,xiàn,A district,
,633,轻,qīng,Light,
,634,质,zhì,Hostage,
,635,语,yǔ,Dialect,
,636,越,yuè,To exceed,
,637,况,kuàng,Moreover,
,638,举,jǔ,To lift,
,639,皇,huáng,Emperor,
,640,钱,qián,Coin,
,641,历,lì,Calendar,
,642,留,liú,Leave (message),
,643,乐,lè,Happy,
,644,章,zhāng,Chapter,
,645,照,zhào,According to,
,646,器,qì,Device,
,647,写,xiě,To write,
,648,团,tuán,Regiment,
,649,诸,zhū,All,
,650,闻,wén,Hear,
,651,亦,yì,Also,
,652,余,yú,Extra,
,653,整,zhěng,Exactly,
,654,价,jià,Price,
,655,号,háo,Roar,
,656,级,jí,Level,
,657,参,cān,Take part in,
,658,红,hóng,Bonus,
,659,阿,ā,An initial particle,
,660,消,xiāo,Consume,
,661,图,tú,Diagram,
,662,星,xīng,Star,
,663,落,là,Leave behind,
,664,礼,lǐ,Gift,
,665,营,yíng,Army,
,666,增,zēng,To increase,
,667,际,jì,Border,
,668,致,zhì,Fine and close,
,669,志,zhì,The will,
,670,夜,yè,Night,
,671,需,xū,To require,
,672,皆,jiē,All,
,673,左,zuǒ,Left,
,674,究,jiū,After all,
,675,汉,hàn,Chinese,
,676,念,niàn,Read aloud,
,677,既,jì,Already,
,678,送,sòng,To deliver,
,679,显,xiǎn,Prominent,
,680,置,zhì,To install,
,681,亚,yà,Asia,
,682,推,tuī,Push,
,683,居,jū,Reside,
,684,列,liè,To arrange,
,685,君,1-Jun,Monarch,
,686,包,bāo,To cover,
,687,技,jì,Skill,
,688,线,xiàn,Thread,
,689,弟,dì,Younger brother,
,690,客,kè,Customer,
,691,委,wēi,Crooked,
,692,终,zhōng,End,
,693,选,xuǎn,To choose,
,694,势,shì,Conditions,
,695,考,kǎo,To check,
,696,右,yòu,Right (-hand),
,697,属,shǔ,Belong to,
,698,酒,jiǔ,Wine,
,699,农,nóng,Agriculture,
,700,希,xī,Rare,
,701,破,pò,To break,
,702,谓,wèi,Speak of,
,703,喜,xǐ,To be fond of,
,704,费,fèi,To cost,
,705,谈,tán,To speak,
,706,查,chá,To research,
,707,专,zhuān,For a particular person,
,708,吗,mǎ,Morphine,
,709,找,zhǎo,To try to find,
,710,装,zhuāng,Adornment,
,711,绝,jué,Cut short,
,712,答,dā,To answer,
,713,敌,dí,Enemy,
,714,害,hài,To do harm to,
,715,密,mì,Secret,
,716,研,yán,Grind fine,
,717,刘,liú,To kill,
,718,依,yī,According to,
,719,按,àn,To press (with the hand),
,720,久,jiǔ,Time,
,721,宝,bǎo,A jewel or gem,
,722,攻,gōng,To attack,
,723,企,qǐ,Plan a project,
,724,案,àn,Case,
,725,察,chá,Examine,
,726,突,tū,To dash,
,727,倒,dǎo,To fall,
,728,局,jú,Narrow,
,729,投,tóu,To throw,
,730,愿,yuàn,Sincere,
,731,省,shěng,Frugal,
,732,欲,yù,Desire,
,733,率,lǜ,Rate,
,734,严,yán,Tight,
,735,待,dāi,Stay,
,736,归,guī,To go back,
,737,医,yī,Medical,
,738,船,chuán,A boat,
,739,奇,jī,Odd (Num),
,740,护,hù,Protect,
,741,卫,wèi,To guard,
,742,岁,suì,Year,
,743,律,lǜ,Law,
,744,标,biāo,The topmost branches of a tree,
,745,罪,zuì,Guilt,
,746,吧,bā,Dumb,
,747,群,qún,Crowd,
,748,春,chūn,Spring (time),
,749,响,xiǎng,To make a sound,
,750,仍,réng,Still,
,751,某,mǒu,Some,
,752,细,xì,Fine,
,753,承,chéng,To bear,
,754,拿,ná,To hold,
,755,施,shī,Distribute (alms),
,756,急,jí,Hurried,
,757,职,zhí,Office,
,758,另,lìng,Other,
,759,敢,gǎn,Dare,
,760,跟,gēn,To follow,
,761,讲,jiǎng,To talk,
,762,防,fáng,To protect,
,763,独,dú,Alone,
,764,责,zé,Duty,
,765,较,jiào,Clear,
,766,威,wēi,Power,
,767,苏,sū,Loquacious,
,768,双,shuāng,Two,
,769,善,shàn,Good,
,770,校,jiào,Proofread,
,771,友,yǒu,Friend,
,772,围,wéi,To circle,
,773,仅,jǐn,Barely,
,774,纪,jì,Discipline,
,775,族,zú,Race,
,776,谁,shéi,Who,
,777,惊,jīng,To start,
,778,底,de,Background,
,779,孩,hái,Child,
,780,维,wéi,To preserve,
,781,巴,bā,To hope,
,782,供,gōng,Offer (information etc.),
,783,降,jiàng,To drop,
,784,卷,juǎn,To roll (up),
,785,姐,jiě,Older sister,
,786,封,fēng,To confer,
,787,构,gòu,Broussonetia papyrifera,
,788,站,zhàn,Station,
,789,验,yàn,To examine,
,790,苦,kǔ,Bitter,
,791,差,chà,Difference,
,792,刻,kè,Quarter (hour),
,793,益,yì,Benefit,
,794,派,pài,Clique,
,795,紧,jǐn,Tight,
,796,料,liào,Material,
,797,异,yì,Raise,
,798,例,lì,Example,
,799,祖,zǔ,Ancestor,
,800,宫,gōng,Palace,
,801,乱,luàn,In confusion,
,802,素,sù,Plain,
,803,怕,pà,To be afraid,
,804,男,nán,Male,
,805,效,xiào,Imitate,
,806,般,bān,Sort,
,807,段,duàn,Paragraph,
,808,福,fú,Good fortune,
,809,银,yín,Silver,
,810,晚,wǎn,Evening,
,811,宣,xuān,To declare (publicly),
,812,游,yóu,To walk,
,813,采,cǎi,To pick,
,814,修,xiū,To decorate,
,815,娘,niáng,Mother,
,816,态,tài,Attitude,
,817,够,gòu,To reach,
,818,划,huà,To row,
,819,续,xù,Continue,
,820,境,jìng,Border,
,821,假,jiǎ,Fake,
,822,微,wēi,Micro,
,823,试,shì,To test,
,824,伤,shāng,Injure,
,825,刚,gāng,Hard,
,826,状,zhuàng,Accusation,
,827,兰,lán,Orchid,
,828,诉,sù,Complain,
,829,助,zhù,To help,
,830,征,zhēng,Attack,
,831,胜,shēng,Able to do,
,832,竟,jìng,Unexpectedly,
,833,项,xiàng,Back of neck,
,834,继,jì,To continue,
,835,爷,yé,Grandpa,
,836,疑,yí,To doubt,
,837,印,yìn,Stamp,
,838,速,sù,Fast,
,839,低,dī,To lower (one's head),
,840,室,shì,Room,
,841,退,tuì,Retreat,
,842,脸,liǎn,Face,
,843,限,xiàn,Limit,
,844,热,rè,Heat,
,845,值,zhí,Value,
,846,怀,huái,To think of,
,847,郎,láng,A youth,
,848,纳,nà,To accept,
,849,景,jǐng,Bright,
,850,执,zhí,Execute (a plan),
,851,型,xíng,Model,
,852,欢,huān,Joyous,
,853,免,miǎn,To exempt,
,854,略,luè,Plan,
,855,批,pī,To ascertain,
,856,犯,fàn,To violate,
,857,否,fǒu,To negate,
,858,灵,líng,Alert,
,859,药,yào,Medicine,
,860,射,shè,Radio- (chem.),
,861,监,jiān,Hard,
,862,织,zhī,Weave,
,863,陆,liù,Six (fraud-proof),
,864,句,jù,Sentence,
,865,孙,sūn,Grandson,
,866,兄,xiōng,Elder brother,
,867,罢,bà,To stop,
,868,劳,láo,Toil,
,869,获,huò,To catch,
,870,旧,jiù,Old (opposite of new),
,871,预,yù,To advance,
,872,忙,máng,Busy,
,873,贵,guì,Expensive,
,874,错,cuò,Mistake,
,875,树,shù,Tree,
,876,追,zhuī,Pursue (a problem),
,877,临,lín,To face,
,878,伯,bó,Father's elder brother,
,879,育,yù,Nourish,
,880,普,pǔ,General,
,881,诗,shī,Poem,
,882,副,fù,Secondary,
,883,充,chōng,Fill,
,884,永,yǒng,Forever,
,885,财,cái,Money,
,886,适,shì,To fit,
,887,圣,shèng,Holy,
,888,弹,tán,Crossball,
,889,拜,bài,To pay respect,
,890,雷,léi,Thunder,
,891,妇,fù,Woman,
,892,哪,nǎ,How,
,893,源,yuán,Root,
,894,遂,suì,Forthwith,
,895,创,chuāng,A wound,
,896,胡,hú,Beard,
,897,习,xí,To practice,
,898,负,fù,Lose,
,899,策,cè,Method,
,900,败,bài,Be defeated,
,901,宋,sòng,Name of a dynasty,
,902,御,yù,Defend,
,903,讨,tǎo,Ask for,
,904,富,fù,Rich,
,905,尼,ní,Buddhist nun,
,906,范,fàn,Pattern,
,907,球,qiú,Ball,
,908,秋,qiū,Autumn,
,909,冲,chōng,To rinse,
,910,恩,ēn,Kind act (from above),
,911,哥,gē,Elder brother,
,912,寻,xún,To search,
,913,恶,ě,Nauseated,
,914,停,tíng,To stop,
,915,良,liáng,Good,
,916,股,gǔ,Share,
,917,险,xiǎn,Danger (ous),
,918,波,bō,Wave,
,919,刺,cì,Thorn,
